Network;admissibility_3;avg_degree;degen_lower;degen_upper;max_degree;memory;memoryLoad;min_degree;num_edges;num_vertices
lederberg;=64;=9.978856086730957;=15;=15;=1103;=95047.63;=1852.3506;=1103;=41532;=8324
lesmiserables;=9;=6.597402572631836;=9;=9;=36;=146.4082;=94.17676;=36;=254;=77
link-pedigree;=3;=2.505568027496338;=2;=2;=14;=996.80273;=258.30566;=14;=1125;=898
linux;=125;=13.82999324798584;=23;=23;=9338;=513196.7;=8176.6846;=9338;=213217;=30834
loc-brightkite_edges;=122;=7.353094577789307;=52;=52;=1134;=717657.3;=13050.348;=1134;=214078;=58228
location;=16;=2.605013132095337;=5;=5;=12189;=282364.3;=23410.225;=12189;=293697;=225486
marvel;=63;=9.95079231262207;=18;=18;=1625;=111345.484;=3553.8994;=1625;=96662;=19428
mg_casino;=9;=5.981651306152344;=9;=9;=94;=139.06055;=95.61426;=94;=326;=109
mg_forrestgump;=8;=5.765957355499268;=8;=8;=89;=125.4209;=94.81445;=89;=271;=94
mg_godfatherII;=8;=5.615384578704834;=8;=8;=34;=105.706055;=93.853516;=34;=219;=78
mg_watchmen;=7;=5.289473533630371;=7;=7;=33;=108.484375;=93.95215;=33;=201;=76
minnesota;=3;=2.5003786087036133;=2;=2;=5;=2554.8965;=431.33496;=5;=3303;=2642
moreno_health;=16;=8.235526084899902;=7;=7;=27;=12653.666;=484.13574;=27;=10455;=2539
mousebrain;=141;=151.07041931152344;=111;=111;=205;=3951.46;=442.7871;=205;=16089;=213
movies;=6;=3.8019802570343018;=3;=3;=19;=128.64355;=93.6543;=19;=192;=101
muenchen-bahn;=3;=2.586129665374756;=2;=2;=13;=412.74414;=125.78613;=13;=578;=447
munin;=3;=2.11027193069458;=3;=3;=66;=1150.5762;=258.06738;=66;=1397;=1324
netscience;=19;=3.7535934448242188;=19;=19;=34;=1646.9756;=263.44434;=34;=2742;=1461
openflights;=57;=10.668254852294922;=28;=28;=242;=31011.023;=588.1221;=242;=15677;=2939
p2p-Gnutella04;=35;=7.354542255401611;=7;=7;=103;=71947.484;=1690.5371;=103;=39994;=10876
photoviz_dynamic;=8;=3.244680881500244;=4;=4;=29;=444.4463;=127.44922;=29;=610;=376
pigs;=3;=2.4065041542053223;=2;=2;=39;=520.66895;=170.59766;=39;=592;=492
polblogs;=82;=27.312091827392578;=36;=36;=351;=37220.96;=469.9746;=351;=16715;=1224
polbooks;=9;=8.399999618530273;=6;=6;=25;=267.41113;=97.34766;=25;=441;=105
pollination-carlinville;=54;=20.34000015258789;=18;=18;=157;=31438.246;=452.55566;=157;=15255;=1500
pollination-daphni;=29;=7.360100269317627;=9;=9;=124;=3245.585;=197.70508;=124;=2933;=797
pollination-tenerife;=6;=3.7941176891326904;=4;=4;=17;=109.774414;=94.30859;=17;=129;=68
pollination-uk;=88;=33.96747970581055;=35;=35;=256;=22583.555;=460.25195;=256;=16712;=984
ratbrain;=83;=91.5705795288086;=67;=67;=497;=14165.681;=550.2656;=497;=23030;=503
reactome;=184;=46.64043045043945;=62;=62;=855;=287661.44;=3316.252;=855;=147547;=6327
residence_hall;=25;=16.949308395385742;=11;=11;=56;=1902.4521;=126.59961;=56;=1839;=217
rhesusbrain;=41;=25.239669799804688;=19;=19;=111;=3064.7695;=160.2334;=111;=3054;=242
roget-thesaurus;=17;=7.223762512207031;=6;=6;=28;=4620.422;=280.94434;=28;=3648;=1010
seventh-graders;=16;=17.241378784179688;=13;=13;=28;=90.28418;=90.28418;=28;=250;=29
slashdot_threads;=105;=4.595579624176025;=13;=13;=2915;=502228.72;=6329.717;=2915;=117378;=51083
soc-Epinions1;=286;=10.694395065307617;=67;=67;=3044;=3421153.8;=16119.286;=3044;=405740;=75879
soc-Slashdot0811;=262;=12.129782676696777;=54;=54;=2539;=4186597.8;=16036.574;=2539;=469180;=77360
soc-advogato;=95;=15.263015747070312;=25;=25;=807;=100700.95;=1199.7324;=807;=39432;=5167
soc-gplus;=42;=3.317589282989502;=12;=12;=2761;=59312.35;=3099.1084;=2761;=39194;=23628
soc-hamsterster;=62;=13.709810256958008;=24;=24;=273;=29540.207;=608.8174;=273;=16630;=2426
soc-wiki-Vote;=20;=6.555680751800537;=9;=9;=102;=3595.7676;=194.22754;=102;=2914;=889
sp_data_school_day_2;=61;=46.54621887207031;=33;=33;=88;=4042.2861;=200.3125;=88;=5539;=238
train_bombing;=10;=7.59375;=10;=10;=29;=109.791016;=95.805664;=29;=243;=64
twittercrawl;=268;=84.69583892822266;=131;=132;=1084;=629234.8;=3413.9512;=1084;=154824;=3656
ukroad;=3;=2.5272257328033447;=3;=3;=5;=11300.796;=1392.3047;=5;=15641;=12378
unicode_languages;=8;=2.89170503616333;=4;=4;=141;=927.75195;=172.54785;=141;=1255;=868
wafa-ceos;=7;=7.153846263885498;=5;=5;=22;=85.97754;=85.97754;=22;=93;=26
wafa-eies;=27;=28.9777774810791;=24;=24;=44;=130.31836;=97.30957;=44;=652;=45
wafa-hightech;=14;=15.142857551574707;=12;=12;=20;=87.22754;=87.22754;=20;=159;=21
wafa-padgett;=4;=3.5999999046325684;=3;=3;=8;=85.41797;=85.41797;=8;=27;=15
web-EPA;=25;=4.171856880187988;=6;=6;=175;=15650.074;=802.15234;=175;=8909;=4271
web-california;=33;=5.172145843505859;=11;=11;=199;=22849.016;=858.9922;=199;=15969;=6175
web-google;=17;=4.26943826675415;=17;=17;=59;=2027.3623;=264.32227;=59;=2773;=1299
wiki-vote;=183;=28.323822021484375;=53;=53;=1065;=360755.84;=2226.0498;=1065;=100762;=7115
wikipedia-norm;=67;=16.344497680664062;=22;=22;=455;=26097.227;=594.46094;=455;=15372;=1881
win95pts;=3;=2.2626261711120605;=2;=2;=9;=93.63672;=93.63672;=9;=112;=99
windsurfers;=16;=15.627906799316406;=11;=11;=31;=125.01172;=91.49902;=31;=336;=43
word_adjacencies;=12;=7.589285850524902;=6;=6;=49;=291.18848;=99.125;=49;=425;=112
zewail;=79;=16.292888641357422;=18;=18;=331;=144202.45;=1441.4063;=331;=54182;=6651
